zip,eiaid,utility_name,state,service_type,ownership,comm_rate,ind_rate,res_rate
23303,84,A & N Electric Coop,VA,Bundled,Cooperative,0.11899752226227228,0.10461650102539832,0.1333598737314768
23337,84,A & N Electric Coop,VA,Bundled,Cooperative,0.11899752226227228,0.10461650102539832,0.1333598737314768
23420,84,A & N Electric Coop,VA,Bundled,Cooperative,0.11899752226227228,0.10461650102539832,0.1333598737314768
23310,84,A & N Electric Coop,VA,Bundled,Cooperative,0.11899752226227228,0.10461650102539832,0.1333598737314768
23407,84,A & N Electric Coop,VA,Bundled,Cooperative,0.11899752226227228,0.10461650102539832,0.1333598737314768
23354,84,A & N Electric Coop,VA,Bundled,Cooperative,0.11899752226227228,0.10461650102539832,0.1333598737314768
23413,84,A & N Electric Coop,VA,Bundled,Cooperative,0.11899752226227228,0.10461650102539832,0.1333598737314768
23409,84,A & N Electric Coop,VA,Bundled,Cooperative,0.11899752226227228,0.10461650102539832,0.1333598737314768
23405,84,A & N Electric Coop,VA,Bundled,Cooperative,0.11899752226227228,0.10461650102539832,0.1333598737314768
23313,84,A & N Electric Coop,VA,Bundled,Cooperative,0.11899752226227228,0.10461650102539832,0.1333598737314768
23316,84,A & N Electric Coop,VA,Bundled,Cooperative,0.11899752226227228,0.10461650102539832,0.1333598737314768
23443,84,A & N Electric Coop,VA,Bundled,Cooperative,0.11899752226227228,0.10461650102539832,0.1333598737314768
23404,84,A & N Electric Coop,VA,Bundled,Cooperative,0.11899752226227228,0.10461650102539832,0.1333598737314768
23408,84,A & N Electric Coop,VA,Bundled,Cooperative,0.11899752226227228,0.10461650102539832,0.1333598737314768
23482,84,A & N Electric Coop,VA,Bundled,Cooperative,0.11899752226227228,0.10461650102539832,0.1333598737314768
23483,84,A & N Electric Coop,VA,Bundled,Cooperative,0.11899752226227228,0.10461650102539832,0.1333598737314768
23429,84,A & N Electric Coop,VA,Bundled,Cooperative,0.11899752226227228,0.10461650102539832,0.1333598737314768
23422,84,A & N Electric Coop,VA,Bundled,Cooperative,0.11899752226227228,0.10461650102539832,0.1333598737314768
23389,84,A & N Electric Coop,VA,Bundled,Cooperative,0.11899752226227228,0.10461650102539832,0.1333598737314768
23412,84,A & N Electric Coop,VA,Bundled,Cooperative,0.11899752226227228,0.10461650102539832,0.1333598737314768
23419,84,A & N Electric Coop,VA,Bundled,Cooperative,0.11899752226227228,0.10461650102539832,0.1333598737314768
23440,84,A & N Electric Coop,VA,Bundled,Cooperative,0.11899752226227228,0.10461650102539832,0.1333598737314768
23441,84,A & N Electric Coop,VA,Bundled,Cooperative,0.11899752226227228,0.10461650102539832,0.1333598737314768
